draw_seq,date,year,month,day,prize_1,prize_2,prize_3,special_1,special_2,special_3,special_4,special_5,special_6,special_7,special_8,special_9,special_10,consol_1,consol_2,consol_3,consol_4,consol_5,consol_6,consol_7,consol_8,consol_9,consol_10
583,1993-06-20,1993,6,20,9879,563,1855,562,7178,1411,5999,2845,1271,710,5357,8656,4644,,,,,,,,,,
584,1993-06-23,1993,6,23,8922,1486,2039,3146,9152,9984,5735,2235,1871,8211,3199,9310,3362,,,,,,,,,,
585,1993-06-24,1993,6,24,4918,8549,6734,8456,9739,6000,8769,3436,1109,7876,8584,60,2644,,,,,,,,,,
586,1993-06-27,1993,6,27,1179,6874,8613,8346,3049,100,6781,865,1676,332,532,6254,2069,,,,,,,,,,
587,1993-06-30,1993,6,30,5563,9293,8824,4878,7832,1119,808,671,1974,6664,9396,99,2816,,,,,,,,,,
588,1993-07-01,1993,7,1,3813,2646,856,4344,6158,6985,4608,5692,9610,9029,4911,4455,7153,,,,,,,,,,
589,1993-07-04,1993,7,4,8680,7256,440,6292,7239,209,4907,3878,8775,9620,5978,7206,8155,,,,,,,,,,
590,1993-07-07,1993,7,7,3271,1337,4672,9080,7646,2024,9445,8695,7702,145,1402,665,4054,,,,,,,,,,
591,1993-07-08,1993,7,8,2288,705,2924,8856,7659,7520,6535,3746,8801,8777,7768,1328,6793,,,,,,,,,,
592,1993-07-11,1993,7,11,5190,7534,5058,1772,9495,4403,5767,6621,4415,6625,3596,3169,3045,,,,,,,,,,
593,1993-07-14,1993,7,14,9072,2173,681,1713,2450,6566,1559,6553,9718,1600,3089,6696,7593,,,,,,,,,,
594,1993-07-15,1993,7,15,4809,1419,8257,7446,5203,8977,8864,6533,9246,8451,4791,3419,1528,,,,,,,,,,
595,1993-07-18,1993,7,18,8498,8834,1673,6885,5525,4109,3612,9454,8466,4551,5468,1636,3921,,,,,,,,,,
596,1993-07-21,1993,7,21,2575,820,8523,4961,8099,2718,176,1920,7451,170,2986,8321,1404,,,,,,,,,,
597,1993-07-22,1993,7,22,4832,1892,287,3478,8792,695,7997,9446,1901,5670,8191,4690,8976,,,,,,,,,,
598,1993-07-25,1993,7,25,2819,6861,9687,5727,8751,9336,6259,1824,2606,367,138,3395,5482,,,,,,,,,,
599,1993-07-28,1993,7,28,9493,7751,989,9851,7175,4235,6938,1398,2962,1817,751,7060,9860,,,,,,,,,,
600,1993-07-29,1993,7,29,2683,5480,6440,1382,2047,8687,1852,3122,8256,4833,690,4622,7152,,,,,,,,,,
601,1993-08-01,1993,8,1,6489,4380,5626,8654,5481,8383,2080,5613,2627,5202,3212,6067,1579,,,,,,,,,,
602,1993-08-04,1993,8,4,4188,3126,6842,3407,4619,4376,7120,734,5830,2900,293,1546,5307,,,,,,,,,,
603,1993-08-05,1993,8,5,7544,9123,3193,5459,5951,6327,6337,5690,7401,5823,4744,610,5443,,,,,,,,,,
604,1993-08-08,1993,8,8,5010,2814,3141,3473,2100,521,491,8131,3048,2737,6705,2644,6922,,,,,,,,,,
605,1993-08-11,1993,8,11,1875,6737,3484,969,1393,9735,2265,4540,3619,9545,8224,1970,1143,,,,,,,,,,
606,1993-08-12,1993,8,12,702,6217,5258,7298,8681,269,3650,9952,8517,7006,1787,5117,5447,,,,,,,,,,
607,1993-08-15,1993,8,15,2158,2728,1653,7105,4379,4873,1419,6980,7496,2984,6462,3248,388,,,,,,,,,,
608,1993-08-18,1993,8,18,1886,512,6909,9027,9326,1392,9216,7561,3123,9538,143,8368,1479,,,,,,,,,,
609,1993-08-19,1993,8,19,8241,1014,8974,9139,873,4653,8907,3213,4980,1306,6813,8803,165,,,,,,,,,,
610,1993-08-22,1993,8,22,5344,2443,4980,2511,9694,2189,7067,3793,9033,1138,4650,3174,763,,,,,,,,,,
611,1993-08-25,1993,8,25,1656,8381,6206,9250,5297,4351,8172,9749,7442,2437,2598,2282,9662,,,,,,,,,,
612,1993-08-26,1993,8,26,9880,551,9779,9052,5019,4146,3493,1975,7858,9411,3331,9670,1735,,,,,,,,,,
613,1993-08-29,1993,8,29,3445,4295,4500,9807,1317,2662,703,8288,4108,7541,8277,2837,39,,,,,,,,,,
614,1993-09-01,1993,9,1,4287,7218,5313,1635,4847,9557,2283,4014,8412,5397,1644,7315,4768,,,,,,,,,,
